Gene,log2FoldChange,pvalue,padj,logpvalue,significance
SPON1,0.4196,0.2136,0.9994,0.670398752,Not Significant
RRAS2,0.05982,0.7605,0.9994,0.118900782,Not Significant
COPB1,-0.04051,0.8523,0.9994,0.069407512,Not Significant
PSMA1,-0.135,0.391,0.9994,0.407823243,Not Significant
PDE3B,0.1409,0.4562,0.9994,0.340844719,Not Significant
CYP2R1,0.2964,0.1296,0.9994,0.887394998,Not Significant
CALCA,0.3749,0.324,0.9994,0.48945499,Not Significant
CALCB,0.3965,0.3106,0.9994,0.507798549,Not Significant
INSC,0.5076,0.1909,0.9994,0.719194072,Not Significant
SOX6,-0.1492,0.6809,0.9994,0.166916666,Not Significant
C11orf58,0.05568,0.7748,0.9994,0.110810388,Not Significant
PLEKHA7,-0.2268,0.324,0.9994,0.48945499,Not Significant
OR7E14P,-0.07941,0.7831,0.9994,0.106182776,Not Significant
RPS13,-0.2674,0.3901,0.9994,0.40882405,Not Significant
PIK3C2A,-0.247,0.1581,0.9994,0.80106813,Not Significant
NUCB2,-0.2169,0.4561,0.9994,0.340939928,Not Significant
B7H6,0.05018,0.8568,0.9994,0.067120542,Not Significant
KCNJ11,0.2286,0.4874,0.9994,0.312114475,Not Significant
ABCC8,-0.07028,0.8452,0.9994,0.073040512,Not Significant
USH1C,0.1252,0.7464,0.9994,0.127028369,Not Significant
KCNC1,0.3298,0.3254,0.9994,0.487582451,Not Significant
SERGEF,-0.2238,0.2187,0.9994,0.660151217,Not Significant
TPH1,0.432,0.2705,0.9994,0.567832731,Not Significant
SAAL1,0.0561,0.7804,0.9994,0.107682739,Not Significant
HPS5,-0.1481,0.4904,0.9994,0.309449538,Not Significant
GTF2H1,-0.05245,0.8442,0.9994,0.073554652,Not Significant
LDHA,-0.476,0.2225,0.9994,0.652669985,Not Significant
LDHAL6A,0.1933,0.622,0.9994,0.206209615,Not Significant
UEVLD,-0.06074,0.8569,0.9994,0.067069857,Not Significant
LOC100506540,-0.2055,0.5773,0.9994,0.238598443,Not Significant
SPTY2D1,-0.003485,0.985,0.9994,0.00656377,Not Significant
TMEM86A,0.2301,0.4049,0.9994,0.392652223,Not Significant
PTPN5,0.4496,0.1831,0.9994,0.737311656,Not Significant
ZDHHC13,0.2098,0.2909,0.9994,0.536256279,Not Significant
E2F8,-0.4748,0.1187,0.9994,0.925549281,Not Significant
NAV2,-0.01939,0.9089,0.9994,0.041483897,Not Significant
LOC100126784,-0.5351,0.1256,0.9994,0.901010361,Not Significant
DBX1,0.2648,0.499,0.9994,0.301899454,Not Significant
HTATIP2,-0.2231,0.4859,0.9994,0.313453101,Not Significant
PRMT3,0.004019,0.9777,0.9994,0.009794385,Not Significant
SLC6A5,0.1121,0.775,0.9994,0.110698297,Not Significant
NELL1,0.4034,0.2952,0.9994,0.529883647,Not Significant
ANO5,-0.02134,0.949,0.9994,0.022733788,Not Significant
SLC17A6,0.1229,0.7132,0.9994,0.146788665,Not Significant
FANCF,-0.04354,0.7895,0.9994,0.102647866,Not Significant
SVIP,-0.08753,0.6144,0.9994,0.211548793,Not Significant
LUZP2,-0.268,0.4632,0.9994,0.334231449,Not Significant
ANO3,-0.03578,0.9267,0.9994,0.033060837,Not Significant
SLC5A12,-0.08945,0.8195,0.9994,0.086451042,Not Significant
BBOX1,0.07998,0.8383,0.9994,0.076600534,Not Significant
CCDC34,-0.3227,0.1211,0.9994,0.916855857,Not Significant
LGR4,0.1339,0.4131,0.9994,0.383944805,Not Significant
BDNF-AS1,0.06388,0.8576,0.9994,0.066715228,Not Significant
BDNF,-0.4191,0.1604,0.9994,0.794795636,Not Significant
METTL15,0.02072,0.9063,0.9994,0.04272802,Not Significant
KCNA4,-0.18,0.6441,0.9994,0.191046701,Not Significant
C11orf46,0.1631,0.1397,0.9994,0.854803594,Not Significant
DCDC5,0.01728,0.9624,0.9994,0.016644386,Not Significant
DCDC1,0.1502,0.6299,0.9994,0.200728392,Not Significant
DNAJC24,-0.1561,0.294,0.9994,0.53165267,Not Significant
IMMP1L,0.06114,0.7343,0.9994,0.134126472,Not Significant
ELP4,0.1182,0.4146,0.9994,0.382370702,Not Significant
PAX6,0.06388,0.8048,0.9994,0.094312032,Not Significant
DKFZp686K1684,0.5871,0.1168,0.9994,0.932557157,Not Significant
WT1,-0.5179,0.1839,0.9994,0.735418271,Not Significant
WT1-AS,-0.4898,0.1991,0.9994,0.70092874,Not Significant
EIF3M,-0.2432,0.2279,0.9994,0.642255675,Not Significant
PRRG4,-0.254,0.48,0.9994,0.318758763,Not Significant
QSER1,-0.09943,0.5762,0.9994,0.239426746,Not Significant
DEPDC7,-0.2663,0.4633,0.9994,0.3341377,Not Significant
TCP11L1,0.07525,0.7622,0.9994,0.117931056,Not Significant
LINC00294,0.1774,0.4383,0.9994,0.358228529,Not Significant
CSTF3,0.05109,0.7105,0.9994,0.148435918,Not Significant
LOC338739,0.1683,0.6358,0.9994,0.196679476,Not Significant
HIPK3,-0.2439,0.213,0.9994,0.671620397,Not Significant
C11orf41,-0.05069,0.8314,0.9994,0.08018998,Not Significant
C11orf91,-0.2208,0.5616,0.9994,0.250572901,Not Significant
CD59,-0.2595,0.1158,0.9994,0.936291441,Not Significant
LMO2,-0.55,0.1174,0.9994,0.930331903,Not Significant
NAT10,-0.009095,0.954,0.9994,0.020451625,Not Significant
ABTB2,-0.2892,0.3515,0.9994,0.454074671,Not Significant
CAT,0.1328,0.6572,0.9994,0.182302445,Not Significant
EHF,-0.2661,0.4936,0.9994,0.306624849,Not Significant
APIP,0.1612,0.5224,0.9994,0.281996832,Not Significant
PDHX,0.0512,0.8121,0.9994,0.09039049,Not Significant
CD44,0.254,0.5132,0.9994,0.289713352,Not Significant
SLC1A2,-0.1939,0.4476,0.9994,0.349109922,Not Significant
PAMR1,-0.4475,0.2372,0.9994,0.624885315,Not Significant
FJX1,0.1891,0.569,0.9994,0.244887734,Not Significant
TRIM44,0.04848,0.5682,0.9994,0.245498771,Not Significant
LDLRAD3,-0.1294,0.5041,0.9994,0.297483303,Not Significant
COMMD9,0.1258,0.6037,0.9994,0.219178824,Not Significant
PRR5L,0.07445,0.8247,0.9994,0.083704005,Not Significant
TRAF6,-0.06827,0.8132,0.9994,0.08980263,Not Significant
RAG1,-0.1849,0.5998,0.9994,0.221993539,Not Significant
RAG2,0.4597,0.2411,0.9994,0.61780279,Not Significant
C11orf74,-0.03238,0.8106,0.9994,0.091193401,Not Significant
HNRNPKP3,-0.1488,0.7043,0.9994,0.152242312,Not Significant
API5,0.1492,0.2719,0.9994,0.565590792,Not Significant
TTC17,-0.1343,0.5732,0.9994,0.241693818,Not Significant
HSD17B12,-0.1262,0.4133,0.9994,0.383734595,Not Significant
ALKBH3,-0.2852,0.172,0.9994,0.764471553,Not Significant
LOC729799,-0.1353,0.5036,0.9994,0.297914279,Not Significant
LOC100507300,-0.08562,0.8252,0.9994,0.083440781,Not Significant
C11orf96,0.1991,0.575,0.9994,0.240332155,Not Significant
CD82,0.3213,0.2695,0.9994,0.56944123,Not Significant
TSPAN18,0.2014,0.3996,0.9994,0.39837452,Not Significant
TP53I11,0.08347,0.727,0.9994,0.138465589,Not Significant
PRDM11,-0.2396,0.4568,0.9994,0.340273905,Not Significant
SYT13,0.2207,0.4861,0.9994,0.313274379,Not Significant
CHST1,0.3444,0.2795,0.9994,0.553618188,Not Significant
DKFZp779M0652,0.06376,0.8678,0.9994,0.061580354,Not Significant
SLC35C1,0.04458,0.8411,0.9994,0.075152367,Not Significant
CRY2,0.1372,0.6213,0.9994,0.206698646,Not Significant
MAPK8IP1,0.2208,0.2123,0.9994,0.673050006,Not Significant
PEX16,0.2274,0.1219,0.9994,0.913996294,Not Significant
PHF21A,-0.01871,0.9414,0.9994,0.026225806,Not Significant
DGKZ,0.02066,0.899,0.9994,0.046240308,Not Significant
CHRM4,0.2942,0.379,0.9994,0.42136079,Not Significant
AMBRA1,0.03963,0.8284,0.9994,0.08175991,Not Significant
HARBI1,0.3006,0.1547,0.9994,0.810509686,Not Significant
ATG13,0.1963,0.1796,0.9994,0.745693668,Not Significant
ARHGAP1,0.1608,0.4048,0.9994,0.392759496,Not Significant
ZNF408,0.2085,0.1347,0.9994,0.870632404,Not Significant
CKAP5,-0.1409,0.4379,0.9994,0.358625055,Not Significant
LOC100507401,0.0902,0.7846,0.9994,0.105351696,Not Significant
C11orf49,-0.03054,0.8888,0.9994,0.051195954,Not Significant
ARFGAP2,0.07651,0.6998,0.9994,0.155026062,Not Significant
DDB2,-0.01992,0.9495,0.9994,0.022505031,Not Significant
ACP2,0.05158,0.8657,0.9994,0.062632582,Not Significant
NR1H3,0.2626,0.3465,0.9994,0.460296761,Not Significant
MADD,0.2677,0.1491,0.9994,0.826522357,Not Significant
PSMC3,0.05504,0.8112,0.9994,0.090872058,Not Significant
CELF1,0.1112,0.6513,0.9994,0.186218922,Not Significant
PTPMT1,-0.07569,0.752,0.9994,0.123782159,Not Significant
KBTBD4,0.2353,0.3104,0.9994,0.508078287,Not Significant
NDUFS3,-0.002175,0.9908,0.9994,0.004014002,Not Significant
C1QTNF4,0.1708,0.6106,0.9994,0.2142432,Not Significant
MTCH2,0.0755,0.8079,0.9994,0.092642392,Not Significant
AGBL2,0.3314,0.398,0.9994,0.400116928,Not Significant
FNBP4,-0.2667,0.4563,0.9994,0.340749531,Not Significant
NUP160,0.0156,0.9324,0.9994,0.030397735,Not Significant
PTPRJ,-0.2009,0.1346,0.9994,0.87095494,Not Significant
LRRC55,0.1489,0.6309,0.9994,0.200039473,Not Significant
TNKS1BP1,-0.08966,0.7147,0.9994,0.145876218,Not Significant
SSRP1,-0.1356,0.4566,0.9994,0.340464093,Not Significant
P2RX3,-0.128,0.7394,0.9994,0.131120554,Not Significant
SLC43A3,-0.3729,0.3126,0.9994,0.505011026,Not Significant
RTN4RL2,-0.1968,0.6145,0.9994,0.211478113,Not Significant
TIMM10,0.1402,0.4622,0.9994,0.335170059,Not Significant
SMTNL1,0.1294,0.7415,0.9994,0.129888845,Not Significant
UBE2L6,0.06444,0.4635,0.9994,0.333950262,Not Significant
CLP1,0.1367,0.5277,0.9994,0.277612906,Not Significant
ZDHHC5,-0.06576,0.7406,0.9994,0.130416292,Not Significant
MED19,0.248,0.1568,0.9994,0.804653942,Not Significant
TMX2,0.1988,0.2814,0.9994,0.550675907,Not Significant
C11orf31,-0.0466,0.8184,0.9994,0.087034379,Not Significant
BTBD18,0.06481,0.8482,0.9994,0.071501732,Not Significant
CTNND1,0.04461,0.8659,0.9994,0.06253226,Not Significant
LPXN,-0.3327,0.1897,0.9994,0.721932669,Not Significant
ZFP91,0.007016,0.9503,0.9994,0.022139271,Not Significant
GLYATL2,0.1496,0.6413,0.9994,0.19293876,Not Significant
GLYATL1,0.02389,0.9507,0.9994,0.021956506,Not Significant
LOC283194,0.1871,0.631,0.9994,0.199970641,Not Significant
FAM111B,-0.1254,0.7454,0.9994,0.127610612,Not Significant
FAM111A,-0.4495,0.1112,0.9994,0.953895213,Not Significant
DTX4,0.2517,0.2995,0.9994,0.523603173,Not Significant
OSBP,0.1245,0.6321,0.9994,0.19921421,Not Significant
PATL1,-0.2207,0.1976,0.9994,0.70421306,Not Significant
STX3,-0.3039,0.3582,0.9994,0.445874418,Not Significant
MRPL16,0.02163,0.9434,0.9994,0.025304128,Not Significant
MS4A6A,-0.0111,0.9656,0.9994,0.015202743,Not Significant
MS4A8B,0.5462,0.1638,0.9994,0.785686103,Not Significant
CCDC86,-0.08869,0.7502,0.9994,0.12482294,Not Significant
PRPF19,0.05668,0.7419,0.9994,0.129654629,Not Significant
TMEM109,-0.4905,0.1705,0.9994,0.768275617,Not Significant
TMEM132A,0.1182,0.5919,0.9994,0.22775166,Not Significant
CD6,-0.2174,0.5758,0.9994,0.239728339,Not Significant
CD5,-0.1226,0.723,0.9994,0.140861703,Not Significant
VPS37C,-0.2021,0.267,0.9994,0.573488739,Not Significant
PGA5,-0.08898,0.8134,0.9994,0.089695832,Not Significant
VWCE,-0.3953,0.2254,0.9994,0.647046088,Not Significant
TMEM138,-0.05076,0.6632,0.9994,0.178355482,Not Significant
TMEM216,0.09316,0.6362,0.9994,0.196406335,Not Significant
CPSF7,0.07115,0.6908,0.9994,0.160647671,Not Significant
SDHAF2,0.1615,0.5128,0.9994,0.290051983,Not Significant
PPP1R32,0.1936,0.5781,0.9994,0.237997031,Not Significant
LRRC10B,0.5248,0.1586,0.9994,0.799696817,Not Significant
SYT7,0.4953,0.1637,0.9994,0.785951321,Not Significant
DAGLA,0.3218,0.2349,0.9994,0.629116983,Not Significant
C11orf10,-0.1344,0.4923,0.9994,0.307770164,Not Significant
FEN1,0.08652,0.8041,0.9994,0.094689938,Not Significant
FADS1,0.0162,0.9186,0.9994,0.036873559,Not Significant
FADS2,-0.02194,0.8498,0.9994,0.070683273,Not Significant
FADS3,-0.09266,0.7761,0.9994,0.110082317,Not Significant
BEST1,0.03812,0.909,0.9994,0.041436117,Not Significant
FTH1,-0.1866,0.3962,0.9994,0.402085529,Not Significant
ASRGL1,0.1015,0.6626,0.9994,0.178748568,Not Significant
SCGB1A1,0.2096,0.578,0.9994,0.238072162,Not Significant
EEF1G,-0.3382,0.1708,0.9994,0.767512134,Not Significant
TUT1,0.1103,0.7175,0.9994,0.144178095,Not Significant
MTA2,0.06404,0.6866,0.9994,0.163296201,Not Significant
EML3,-0.4251,0.1397,0.9994,0.854803594,Not Significant
ROM1,0.08592,0.7524,0.9994,0.123551213,Not Significant
B3GAT3,-0.04036,0.858,0.9994,0.066512712,Not Significant
INTS5,0.1373,0.6582,0.9994,0.181642122,Not Significant
C11orf48,0.07577,0.719,0.9994,0.14327111,Not Significant
METTL12,0.1888,0.4433,0.9994,0.353302269,Not Significant
SNORA57,-0.3129,0.4166,0.9994,0.380280734,Not Significant
C11orf83,0.08006,0.6377,0.9994,0.195383583,Not Significant
UBXN1,-0.1379,0.5961,0.9994,0.224680878,Not Significant
BSCL2,0.2248,0.1745,0.9994,0.758204569,Not Significant
GNG3,0.3433,0.3067,0.9994,0.513286224,Not Significant
HNRNPUL2,0.1274,0.1965,0.9994,0.706637445,Not Significant
TTC9C,-0.06408,0.791,0.9994,0.101823517,Not Significant
ZBTB3,0.03148,0.8567,0.9994,0.067171233,Not Significant
POLR2G,-0.0123,0.9442,0.9994,0.024936004,Not Significant
TAF6L,0.03725,0.8977,0.9994,0.046868775,Not Significant
TMEM179B,-0.08979,0.7522,0.9994,0.123666671,Not Significant
TMEM223,0.1698,0.5852,0.9994,0.232695683,Not Significant
NXF1,0.01095,0.9441,0.9994,0.024982002,Not Significant
STX5,0.06895,0.7344,0.9994,0.134067332,Not Significant
WDR74,-0.04141,0.8796,0.9994,0.055714779,Not Significant
SNORD22,-0.2726,0.4871,0.9994,0.31238187,Not Significant
SNORD31,-0.09792,0.8022,0.9994,0.095717342,Not Significant
SNORD29,-0.3248,0.4017,0.9994,0.396098168,Not Significant
SNORD26,-0.1387,0.7034,0.9994,0.152797636,Not Significant
SLC22A6,0.159,0.6671,0.9994,0.175809059,Not Significant
HRASLS5,-0.3517,0.3637,0.9994,0.439256699,Not Significant
RARRES3,-0.1748,0.6546,0.9994,0.184023999,Not Significant
HRASLS2,0.3557,0.3579,0.9994,0.446238302,Not Significant
PLA2G16,-0.08845,0.7751,0.9994,0.110642263,Not Significant
RTN3,0.1735,0.2872,0.9994,0.541815564,Not Significant
C11orf95,0.1237,0.5105,0.9994,0.292004254,Not Significant
MARK2,0.02565,0.8298,0.9994,0.08102657,Not Significant
RCOR2,0.1445,0.552,0.9994,0.258060922,Not Significant
NAA40,0.03416,0.8625,0.9994,0.064240896,Not Significant
COX8A,-0.05937,0.7044,0.9994,0.152180653,Not Significant
OTUB1,-0.09582,0.6068,0.9994,0.216954428,Not Significant
MACROD1,-0.1938,0.1783,0.9994,0.748848657,Not Significant
FLRT1,0.4074,0.2346,0.9994,0.629671992,Not Significant
STIP1,-0.08447,0.7561,0.9994,0.121420762,Not Significant
FERMT3,0.1069,0.7373,0.9994,0.132355766,Not Significant
TRPT1,-0.03946,0.861,0.9994,0.064996849,Not Significant
NUDT22,-0.0988,0.7535,0.9994,0.122916743,Not Significant
DNAJC4,-0.1902,0.4442,0.9994,0.352421446,Not Significant
VEGFB,-0.1855,0.2857,0.9994,0.54408976,Not Significant
FKBP2,0.1806,0.2013,0.9994,0.696156225,Not Significant
PPP1R14B,0.04846,0.7804,0.9994,0.107682739,Not Significant
PLCB3,-0.2288,0.161,0.9994,0.793174124,Not Significant
BAD,-0.03051,0.8798,0.9994,0.055616042,Not Significant
GPR137,0.08971,0.41,0.9994,0.387216143,Not Significant
KCNK4,0.3241,0.3834,0.9994,0.416347891,Not Significant
C11orf20,0.3824,0.3265,0.9994,0.486116814,Not Significant
ESRRA,0.02064,0.9362,0.9994,0.028631363,Not Significant
TRMT112,-0.1196,0.6092,0.9994,0.215240105,Not Significant
PRDX5,0.07006,0.593,0.9994,0.226945307,Not Significant
RPS6KA4,-0.2732,0.3326,0.9994,0.478077755,Not Significant
SLC22A11,0.2821,0.45,0.9994,0.346787486,Not Significant
NRXN2,0.4051,0.1527,0.9994,0.816160963,Not Significant
RASGRP2,0.473,0.1517,0.9994,0.819014419,Not Significant
PYGM,0.1251,0.7306,0.9994,0.136320332,Not Significant
SF1,-0.01605,0.9071,0.9994,0.042344833,Not Significant
MAP4K2,-0.04729,0.7538,0.9994,0.122743867,Not Significant
MEN1,0.05413,0.5438,0.9994,0.264560797,Not Significant
CDC42BPG,-0.05578,0.8112,0.9994,0.090872058,Not Significant
EHD1,0.105,0.3473,0.9994,0.459295217,Not Significant
PPP2R5B,0.287,0.3241,0.9994,0.489320969,Not Significant
BATF2,0.1833,0.5975,0.9994,0.22366209,Not Significant
ARL2,-0.01369,0.9457,0.9994,0.024246611,Not Significant
SAC3D1,0.09061,0.5089,0.9994,0.293367549,Not Significant
NAALADL1,-0.3172,0.415,0.9994,0.381951903,Not Significant
CDCA5,-0.3592,0.2519,0.9994,0.598771833,Not Significant
ZFPL1,-0.03001,0.9158,0.9994,0.038199361,Not Significant
C11orf2,-0.1371,0.5576,0.9994,0.253677235,Not Significant
TM7SF2,0.03012,0.9191,0.9994,0.036637234,Not Significant
ZNHIT2,0.2413,0.267,0.9994,0.573488739,Not Significant
FAU,-0.192,0.456,0.9994,0.341035157,Not Significant
MRPL49,0.1534,0.3162,0.9994,0.500038134,Not Significant
SYVN1,0.02177,0.9261,0.9994,0.033342116,Not Significant
CAPN1,-0.09788,0.6268,0.9994,0.202871012,Not Significant
SLC22A20,0.02286,0.9461,0.9994,0.024062958,Not Significant
POLA2,-0.1242,0.6883,0.9994,0.16222223,Not Significant
CDC42EP2,0.04054,0.9048,0.9994,0.043447408,Not Significant
DPF2,-0.03034,0.9136,0.9994,0.039243909,Not Significant
FRMD8,-0.2745,0.4241,0.9994,0.372531728,Not Significant
MALAT1,-0.1783,0.6492,0.9994,0.187621489,Not Significant
SSSCA1,0.1213,0.6281,0.9994,0.201971207,Not Significant
FAM89B,0.1549,0.3314,0.9994,0.479647496,Not Significant
EHBP1L1,-0.2971,0.3893,0.9994,0.409715596,Not Significant
KCNK7,0.4672,0.2271,0.9994,0.643782866,Not Significant
MAP3K11,0.09867,0.6181,0.9994,0.208941256,Not Significant
PCNXL3,0.09206,0.438,0.9994,0.358525889,Not Significant
SIPA1,-0.00587,0.9716,0.9994,0.012512494,Not Significant
MIR4489,0.1401,0.7052,0.9994,0.151687696,Not Significant
RELA,-0.03951,0.8301,0.9994,0.080869586,Not Significant
KAT5,0.05772,0.7489,0.9994,0.125576169,Not Significant
RNASEH2C,-0.04252,0.8156,0.9994,0.088522783,Not Significant
AP5B1,0.00906,0.9713,0.9994,0.012646611,Not Significant
OVOL1,0.08812,0.8222,0.9994,0.085022528,Not Significant
SNX32,0.09898,0.771,0.9994,0.112945622,Not Significant
CFL1,-0.05823,0.5893,0.9994,0.229663559,Not Significant
MUS81,0.1732,0.3534,0.9994,0.451733455,Not Significant
CTSW,0.3117,0.4261,0.9994,0.370488466,Not Significant
FIBP,-0.02103,0.93,0.9994,0.031517051,Not Significant
CCDC85B,-0.1192,0.6353,0.9994,0.197021145,Not Significant
FOSL1,-0.269,0.4895,0.9994,0.310247304,Not Significant
C11orf68,0.04471,0.7795,0.9994,0.10818388,Not Significant
DRAP1,-0.04883,0.703,0.9994,0.153044675,Not Significant
TSGA10IP,0.05685,0.8837,0.9994,0.053695145,Not Significant
EIF1AD,0.1205,0.5326,0.9994,0.273598838,Not Significant
BANF1,-0.07054,0.7004,0.9994,0.154653863,Not Significant
SF3B2,-0.03942,0.8488,0.9994,0.071194629,Not Significant
PACS1,-0.01695,0.9423,0.9994,0.025810809,Not Significant
KLC2,0.316,0.2324,0.9994,0.633763876,Not Significant
RAB1B,-0.134,0.2556,0.9994,0.592439151,Not Significant
YIF1A,0.09942,0.6484,0.9994,0.188156994,Not Significant
BRMS1,0.001928,0.9907,0.9994,0.004057837,Not Significant
B3GNT1,0.1762,0.2484,0.9994,0.604848408,Not Significant
SLC29A2,-0.1697,0.3004,0.9994,0.522300072,Not Significant
MRPL11,-0.1214,0.6302,0.9994,0.200521601,Not Significant
PELI3,0.2021,0.343,0.9994,0.46470588,Not Significant
DPP3,-0.1616,0.4464,0.9994,0.350275814,Not Significant
BBS1,0.02363,0.9094,0.9994,0.04124505,Not Significant
ZDHHC24,-0.2856,0.1704,0.9994,0.76853041,Not Significant
CTSF,0.1617,0.6081,0.9994,0.216024997,Not Significant
CCDC87,0.332,0.3947,0.9994,0.403732874,Not Significant
CCS,-0.1211,0.5433,0.9994,0.264960295,Not Significant
RBM4,-0.08285,0.7017,0.9994,0.153848523,Not Significant
RBM4B,-0.0404,0.8403,0.9994,0.075565636,Not Significant
SPTBN2,0.3607,0.182,0.9994,0.739928612,Not Significant
C11orf80,-0.0444,0.8562,0.9994,0.067424777,Not Significant
RCE1,-0.07104,0.7667,0.9994,0.115374537,Not Significant
C11orf86,0.07778,0.8375,0.9994,0.077015184,Not Significant
KDM2A,-0.09479,0.4706,0.9994,0.327348077,Not Significant
ADRBK1,0.1478,0.5234,0.9994,0.281166282,Not Significant
ANKRD13D,0.1019,0.6992,0.9994,0.15539858,Not Significant
SSH3,-0.3858,0.1306,0.9994,0.884056823,Not Significant
LOC100130987,0.2396,0.3239,0.9994,0.489589052,Not Significant
CLCF1,0.03212,0.887,0.9994,0.05207638,Not Significant
RAD9A,0.1167,0.5108,0.9994,0.291749111,Not Significant
PPP1CA,0.03996,0.8839,0.9994,0.053596866,Not Significant
TBC1D10C,0.2313,0.548,0.9994,0.261219442,Not Significant
CARNS1,-0.0752,0.8164,0.9994,0.088097004,Not Significant
RPS6KB2,-0.09869,0.4951,0.9994,0.305307074,Not Significant
PTPRCAP,-0.4318,0.1955,0.9994,0.708853238,Not Significant
CABP4,-0.1873,0.6282,0.9994,0.201902068,Not Significant
TMEM134,-0.2359,0.2664,0.9994,0.57446578,Not Significant
AIP,-0.2054,0.4773,0.9994,0.321208566,Not Significant
PITPNM1,0.1061,0.6197,0.9994,0.207818504,Not Significant
NDUFV1,-0.002277,0.9905,0.9994,0.00414552,Not Significant
FAM86C2P,-0.09133,0.8027,0.9994,0.095446737,Not Significant
UNC93B1,-0.03344,0.9174,0.9994,0.037441264,Not Significant
ALDH3B1,0.1698,0.6507,0.9994,0.186619193,Not Significant
NDUFS8,-0.009606,0.957,0.9994,0.019088062,Not Significant
MIR4691,-0.2478,0.5229,0.9994,0.281581358,Not Significant
TCIRG1,-0.528,0.1769,0.9994,0.752272167,Not Significant
CHKA,0.1777,0.5378,0.9994,0.269379202,Not Significant
SUV420H1,0.06637,0.7145,0.9994,0.145997767,Not Significant
C11orf24,-0.03506,0.895,0.9994,0.048176965,Not Significant
LRP5,-0.09935,0.5265,0.9994,0.278601624,Not Significant
PPP6R3,0.0271,0.8837,0.9994,0.053695145,Not Significant
GAL,-0.3734,0.2798,0.9994,0.55315229,Not Significant
MTL5,0.08374,0.7949,0.9994,0.099687503,Not Significant
MRPL21,0.2597,0.3269,0.9994,0.485585079,Not Significant
IGHMBP2,0.06462,0.7869,0.9994,0.104080455,Not Significant
TPCN2,-0.2556,0.3897,0.9994,0.409269594,Not Significant
MYEOV,-0.02026,0.9536,0.9994,0.020633758,Not Significant
ORAOV1,0.06591,0.5957,0.9994,0.2249724,Not Significant
FGF19,-0.583,0.1343,0.9994,0.871923987,Not Significant
FADD,0.06807,0.7907,0.9994,0.101988261,Not Significant
PPFIA1,-0.1197,0.3276,0.9994,0.484656107,Not Significant
CTTN,-0.06571,0.6743,0.9994,0.17114684,Not Significant
KRTAP5-10,0.1725,0.6566,0.9994,0.182699122,Not Significant
FAM86C1,0.0209,0.9503,0.9994,0.022139271,Not Significant
LOC100133315,0.03477,0.9084,0.9994,0.041722874,Not Significant
RNF121,0.03556,0.7585,0.9994,0.120044415,Not Significant
IL18BP,-0.1255,0.7334,0.9994,0.134659094,Not Significant
NUMA1,-0.1452,0.5015,0.9994,0.299729063,Not Significant
LRTOMT,0.1945,0.4977,0.9994,0.303032359,Not Significant
LAMTOR1,0.02418,0.9133,0.9994,0.039386542,Not Significant
C11orf51,0.003046,0.9865,0.9994,0.00590291,Not Significant
FOLR1,0.1368,0.7271,0.9994,0.138405855,Not Significant
ARAP1,-0.4479,0.126,0.9994,0.899629455,Not Significant
STARD10,-0.1817,0.5817,0.9994,0.235300936,Not Significant
ATG16L2,-0.3062,0.3903,0.9994,0.408601449,Not Significant
FCHSD2,0.1216,0.6128,0.9994,0.212681243,Not Significant
P2RY6,-0.4446,0.2303,0.9994,0.637706062,Not Significant
RELT,-0.2133,0.4459,0.9994,0.350762528,Not Significant
FAM168A,0.1933,0.2386,0.9994,0.622329561,Not Significant
PLEKHB1,0.03982,0.9007,0.9994,0.045419837,Not Significant
RAB6A,0.07371,0.6224,0.9994,0.205930416,Not Significant
MRPL48,-0.2229,0.4038,0.9994,0.393833685,Not Significant
CHCHD8,0.07039,0.7226,0.9994,0.141102043,Not Significant
PAAF1,0.007869,0.9606,0.9994,0.017457418,Not Significant
DNAJB13,0.5012,0.1843,0.9994,0.734474665,Not Significant
UCP2,-0.4652,0.1442,0.9994,0.84103474,Not Significant
UCP3,-0.04192,0.8792,0.9994,0.055912321,Not Significant
C2CD3,0.1505,0.3213,0.9994,0.493089274,Not Significant
PPME1,0.09583,0.583,0.9994,0.234331445,Not Significant
PGM2L1,0.2213,0.4754,0.9994,0.322940823,Not Significant
LIPT2,-0.04441,0.906,0.9994,0.042871802,Not Significant
POLD3,-0.04233,0.8824,0.9994,0.054334501,Not Significant
CHRDL2,0.09601,0.8043,0.9994,0.094581931,Not Significant
RNF169,-0.1666,0.5597,0.9994,0.252044693,Not Significant
XRRA1,-0.2716,0.4365,0.9994,0.360015752,Not Significant
SPCS2,0.06961,0.6619,0.9994,0.179207619,Not Significant
NEU3,-0.1543,0.5756,0.9994,0.239879215,Not Significant
LOC100507050,0.2451,0.4225,0.9994,0.374173287,Not Significant
ARRB1,0.2166,0.4529,0.9994,0.343997679,Not Significant
RPS3,-0.4164,0.1396,0.9994,0.855114582,Not Significant
SNORD15B,-0.1216,0.7439,0.9994,0.128485441,Not Significant
GDPD5,0.232,0.484,0.9994,0.315154638,Not Significant
MAP6,0.1024,0.7246,0.9994,0.13990167,Not Significant
DGAT2,-0.01089,0.9763,0.9994,0.010416711,Not Significant
UVRAG,-0.05394,0.7986,0.9994,0.097670694,Not Significant
PRKRIR,0.02964,0.8912,0.9994,0.050024822,Not Significant
C11orf30,0.08051,0.5715,0.9994,0.242983765,Not Significant
TSKU,-0.3846,0.2944,0.9994,0.531062194,Not Significant
